id,code,accounting_id,name,initial_balance,final_balance,debit_movement,credit_movement,third_party_type_id,third_party_id,year,month
60,1.4,14,Inventarios,0.0,-20000.0,0.0,20000.0,Contact,1,2024,2
61,1.4,14,Inventarios,0.0,-55769.230769,0.0,55769.230769,Contact,13,2024,2
62,1.4,14,Inventarios,0.0,-122122.0,0.0,122122.0,Contact,34,2024,2
63,1.4,14,Inventarios,0.0,-5352002.0,0.0,5352002.0,Contact,42,2024,2
64,1.4,14,Inventarios,0.0,450000.0,450000.0,0.0,Contact,71,2024,2
65,1.4,14,Inventarios,0.0,-520000.0,0.0,520000.0,Contact,80,2024,2
66,1.4,14,Inventarios,0.0,2423000.0,2423000.0,0.0,Contact,105,2024,2
67,1.4,14,Inventarios,0.0,100000.0,100000.0,0.0,Contact,114,2024,2
68,1.4,14,Inventarios,0.0,122124.0,122124.0,0.0,Contact,117,2024,2
69,1.4,14,Inventarios,0.0,-737621.0,0.0,737621.0,Contact,138,2024,2
70,1.4,14,Inventarios,0.0,-5312502.0,0.0,5312502.0,Contact,142,2024,2
71,1.4,14,Inventarios,0.0,-5310001.0,0.0,5310001.0,Contact,145,2024,2
72,2.2,22,Proveedores,0.0,535500.0,0.0,535500.0,Contact,71,2024,2
73,2.2,22,Proveedores,0.0,2423000.0,0.0,2423000.0,Contact,105,2024,2
74,2.2,22,Proveedores,0.0,119000.0,0.0,119000.0,Contact,114,2024,2
75,2.2,22,Proveedores,0.0,145327.56,0.0,145327.56,Contact,117,2024,2
76,2.4,24,"24 Impuestos, Gravámenes Y Tasas",0.0,-45000.0,45000.0,0.0,Contact,1,2024,2
77,2.4,24,"24 Impuestos, Gravámenes Y Tasas",0.0,570000.0,0.0,570000.0,Contact,1,2024,2
78,2.4,24,"24 Impuestos, Gravámenes Y Tasas",0.0,9500.0,0.0,9500.0,Contact,13,2024,2
79,2.4,24,"24 Impuestos, Gravámenes Y Tasas",0.0,23940.0,0.0,23940.0,Contact,34,2024,2
80,2.4,24,"24 Impuestos, Gravámenes Y Tasas",0.0,47500.0,0.0,47500.0,Contact,42,2024,2
81,2.4,24,"24 Impuestos, Gravámenes Y Tasas",0.0,-85500.0,85500.0,0.0,Contact,71,2024,2
82,2.4,24,"24 Impuestos, Gravámenes Y Tasas",0.0,9500.0,0.0,9500.0,Contact,80,2024,2
83,2.4,24,"24 Impuestos, Gravámenes Y Tasas",0.0,-19000.0,19000.0,0.0,Contact,114,2024,2
84,2.4,24,"24 Impuestos, Gravámenes Y Tasas",0.0,-23203.56,23203.56,0.0,Contact,117,2024,2
85,2.4,24,"24 Impuestos, Gravámenes Y Tasas",0.0,1235.23,0.0,1235.23,Contact,138,2024,2
86,2.4,24,"24 Impuestos, Gravámenes Y Tasas",0.0,-127500.0,127500.0,0.0,Contact,142,2024,2
87,2.4,24,"24 Impuestos, Gravámenes Y Tasas",0.0,78945.0,0.0,78945.0,Contact,142,2024,2
